new_id,legacy_id
532,212
823,134
824,131
825,175
826,186
490,178
604,192
736,156
734,28
738,30
739,43
576,268
618,327
740,48
748,62
741,71
742,115
743,69
744,27
544,247
506,157
745,21
746,57
747,75
749,109
750,133
751,10
752,121
753,37
754,144
755,189
756,15
757,6
758,8
759,136
760,49
761,3
762,14
763,17
764,79
765,125
533,226
766,5
767,2
768,78
769,1
770,38
595,262
735,39
520,4
512,194
494,300
381,164
484,102
477,182
787,334
442,162
737,80
467,16
481,70
452,73
594,213
557,261
515,209
577,275
546,243
464,163
387,141
437,36
584,277
611,154
456,96
472,158
392,72
459,119
771,9
772,7
773,77
774,13
539,240
499,159
775,11
606,274
776,12
777,191
778,224
779,237
593,304
780,143
781,239
782,238
783,283
784,232
785,22
393,108
443,137
383,60
382,42
384,87
621,326
619,188
386,56
385,172
377,31
391,90
390,105
394,130
396,40
397,106
399,117
403,100
404,153
378,55
402,171
400,123
406,113
407,177
418,51
408,81
411,85
412,142
413,50
414,65
415,147
416,91
417,54
409,174
419,41
421,58
422,44
426,98
427,53
429,168
431,110
432,76
434,150
435,99
436,132
438,120
439,299
440,297
441,138
444,83
445,63
423,146
446,35
447,82
448,66
449,104
450,97
451,173
453,94
454,135
460,29
457,32
458,160
455,33
462,149
461,127
470,88
479,101
478,67
465,155
466,93
469,92
471,46
424,34
475,301
476,64
480,59
501,201
485,26
474,187
468,95
488,112
491,295
492,294
489,116
493,293
487,122
495,68
496,180
498,196
500,199
502,193
486,47
509,210
505,202
507,195
511,203
380,167
401,74
503,198
420,107
379,145
388,287
389,89
508,205
497,129
405,139
425,86
513,197
428,124
463,302
482,179
510,211
504,204
519,222
531,208
483,161
552,257
521,220
522,214
528,228
523,215
524,223
526,231
529,236
530,303
542,260
534,221
535,225
536,207
537,230
541,242
538,234
543,252
527,241
525,217
514,200
549,233
547,229
548,248
550,244
553,235
554,251
555,256
556,218
559,246
560,249
551,114
558,258
545,245
605,288
562,206
597,45
561,254
564,273
563,259
567,264
565,281
596,312
566,267
607,309
516,170
568,279
569,276
570,272
572,271
573,255
574,250
575,265
578,148
579,152
580,181
581,128
582,263
583,166
571,280
517,216
518,219
591,285
589,151
586,269
587,270
588,278
590,307
585,282
592,284
615,253
610,306
600,298
602,266
617,311
599,126
609,310
613,314
614,329
616,328
603,308
622,315
623,332
608,305
601,227
598,84
624,331
626,330
625,169
473,61
540,111
430,103
612,296
410,289
627,333
398,165
620,313
433,118
395,52
