Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Antall tilfeller per måned;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Antall tilfeller per uke siste fire uker;Totalt;;;;
;2020;;;;;;;;;;2021;per 11.4.;;;;
Bydel;;;;;;;;;;;;;;;;
;Mars;Apr.;Mai;Juni;Juli;Aug.;Sept.;Okt.;Nov.;Des.;Jan.;Feb.;Mars;Hittil i april;2021-11 2021-12 2021-13 2021-14;Antall Prosent
Gamle Oslo;130;123;30;14;12;38;127;205;459;306;375;282;771;215;189 213 169 129;3 087 10 %
Grünerløkka;118;64;18;16;10;37;111;176;422;235;316;248;708;233;185 145 142 153;2 712 9 %
Sagene;82;57;18;16;5;16;85;116;239;110;159;223;455;86;134 107 77 53;1 667 5 %
St. Hanshaugen;59;51;5;8;4;23;97;115;239;110;158;114;316;111;79 97 58 85;1 410 5 %
Frogner;107;66;13;10;11;50;123;190;290;176;280;150;489;186;109 140 116 120;2 141 7 %
Ullern;74;35;11;5;2;23;27;98;95;51;115;73;216;83;61 64 44 54;908 3 %
Vestre Aker;102;46;5;6;1;37;18;62;163;164;160;174;319;72;88 75 41 49;1 329 4 %
Nordre Aker;84;49;8;6;9;17;54;82;218;98;103;106;359;83;106 98 58 58;1 276 4 %
Bjerke;50;71;22;7;5;19;43;107;381;235;135;202;655;150;190 157 129 98;2 082 7 %
Grorud;46;72;19;17;4;27;49;81;342;203;185;149;682;115;198 139 104 68;1 991 6 %
Stovner;71;117;21;25;8;34;71;130;360;393;382;225;953;235;317 202 154 153;3 025 10 %
Alna;95;137;44;44;14;58;95;176;494;255;333;303;1 251;290;388 296 225 178;3 589 12 %
Østensjø;103;66;16;10;5;19;72;81;257;167;188;189;450;137;137 93 77 101;1 760 6 %
Nordstrand;92;69;7;2;4;12;47;134;223;149;167;135;327;71;86 75 70 52;1 439 5 %
Søndre Nordstrand;64;66;20;51;5;45;49;136;360;296;416;174;704;267;195 181 167 183;2 653 9 %
Totalt;1 277;1 089;257;237;99;455;1068;1 889;4542;2 948;3 472;2 747;8 655;2 334;2 462 2 082 1 631 1 534;31069100%
Total cases since March;1277;2 366;2 623;2 860;2 959;3 414;4 482;6 371;10 913;13 861;17 333;20 080;28 735;31 069;;
Total cases / place (since March);;;;;;;;;;;;;;;total:;
Gamle Oslo;130;253;283;297;309;347;474;679;1138;1444;1819;2101;2872;3087;15233;
Grünerløkka;118;182;200;216;226;263;374;550;972;1207;1523;1771;2479;2712;12793;
Sagene;82;139;157;173;178;194;279;395;634;744;903;1126;1581;1667;8252;
St. Hanshaugen;59;110;115;123;127;150;247;362;601;711;869;983;1299;1410;7166;
Frogner;107;173;186;196;207;257;380;570;860;1036;1316;1466;1955;2141;10850;
Ullern;74;109;120;125;127;150;177;275;370;421;536;609;825;908;4826;
Vestre Aker;102;148;153;159;160;197;215;277;440;604;764;938;1257;1329;6743;
Nordre Aker;84;133;141;147;156;173;227;309;527;625;728;834;1193;1276;6553;
Bjerke;50;121;143;150;155;174;217;324;705;940;1075;1277;1932;2082;9345;
Grorud;46;118;137;154;158;185;234;315;657;860;1045;1194;1876;1991;8970;
Stovner;71;188;209;234;242;276;347;477;837;1230;1612;1837;2790;3025;13375;
Alna;95;232;276;320;334;392;487;663;1157;1412;1745;2048;3299;3589;16049;
Østensjø;103;169;185;195;200;219;291;372;629;796;984;1173;1623;1760;8699;
Nordstrand;92;161;168;170;174;186;233;367;590;739;906;1041;1368;1439;7634;
Søndre Nordstrand;64;130;150;201;206;251;300;436;796;1092;1508;1682;2386;2653;11855;
deaths:;0;24;0;1;1;1;0;0;8;7;9;6;5;3;;
